trading_date,ticker,stable_security_id,shadow,premarket_real_bars_60m,premarket_real_bars_total,prior_close,price_at_freeze,premarket_dollar_volume_usd,average_daily_dollar_volume_usd,market_cap_usd,relative_volume_raw,relative_volume_score,price_slope_15m_raw,price_slope_15m_score,price_slope_30m_raw,price_slope_30m_score,price_slope_60m_raw,price_slope_60m_score,volume_slope_15m_raw,volume_slope_15m_score,volume_slope_30m_raw,volume_slope_30m_score,volume_slope_60m_raw,volume_slope_60m_score,premarket_gap_strength_raw,premarket_gap_strength_score,price_vs_premarket_vwap_raw,price_vs_premarket_vwap_score,premarket_trend_consistency_raw,premarket_trend_consistency_score,price_volume_confirmation_raw,price_volume_confirmation_score,premarket_range_expansion_raw,premarket_range_expansion_score,relative_strength_index_15m_raw,relative_strength_index_15m_score,relative_strength_index_30m_raw,relative_strength_index_30m_score,relative_strength_index_60m_raw,relative_strength_index_60m_score,sector_strength_raw,sector_strength_score,stock_leadership_vs_sector_raw,stock_leadership_vs_sector_score,broad_market_regime_alignment_raw,broad_market_regime_alignment_score,catalyst_quality_raw,catalyst_quality_score,catalyst_verification_confidence_raw,catalyst_verification_confidence_score,catalyst_freshness_relevance_raw,catalyst_freshness_relevance_score,atr_pct_opportunity_raw,atr_pct_opportunity_score,current_range_pct_opportunity_raw,current_range_pct_opportunity_score,average_daily_dollar_volume_quality_raw,average_daily_dollar_volume_quality_score,premarket_dollar_volume_quality_raw,premarket_dollar_volume_quality_score,total_score,score_pct,score_pct_reachable,score_pct_fixed120,reachable_metric_count,unavailable_metrics,benchmark_symbol,alpha12_total_score,alpha12_score_pct,rubric_version,reversal_score_pct,selected,news_article_count,news_fetch_status,admitted_event_count,best_event_type,source_tier,verification_status,freshest_event_age_minutes,sentiment,keyword_sentiment_hint,selection_basis,rejection_reasons,liquidity_action,top_10_mover,benchmark_rank,open_0930,day_high,day_low,close,day_mfe_pct,day_mae_pct,close_vs_open_pct,time_of_day_high,high_0930_1000_pct,return_0930_1000_pct,no_regular_session_path,cost_model_id,execution_policy_v1.0_exit_reason,execution_policy_v1.0_realized_return_pct,execution_policy_v1.0_capture_ratio,execution_policy_v1.0_stop_distance_pct,execution_policy_v1.0_net_realized_return_pct,execution_policy_v1.0_cost_bps,execution_policy_v1.0_net_capture_ratio,execution_policy_atr_v1.0_exit_reason,execution_policy_atr_v1.0_realized_return_pct,execution_policy_atr_v1.0_capture_ratio,execution_policy_atr_v1.0_stop_distance_pct,execution_policy_atr_v1.0_net_realized_return_pct,execution_policy_atr_v1.0_cost_bps,execution_policy_atr_v1.0_net_capture_ratio
2024-03-26,AAL,BBG005P7Q907,true,13,35,14.920000,14.989900,596228.307100,425362936.499500,9750825006.000000,0.240501,0,,,,,,,,,,,,,0.468499,0,0.150003,0,38.235294,0,0,0,0.204807,0,,,,,,,0.278230,0,-0.097527,0,0.287796,2,ANALYST_ACTION,2,SINGLE_SOURCE,1,,0,2.373755,1,0.536193,0,425362936.499500,4,596228.307100,2,12,12.000000,12.000000,10.000000,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,QQQ,0,0.000000,alpha_v1.3_25m,,false,4,AVAILABLE,4,ANALYST_ACTION,OTHER,SINGLE_SOURCE,,UNKNOWN,UNKNOWN,NOT_SELECTED,INSUFFICIENT_PREMARKET_BARS,PASS,false,,14.990000,15.120000,14.900000,14.915000,0.867245,-0.600400,-0.500334,2024-03-26T09:55:00-04:00,0.867245,0.533689,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-03-26,ACB,BBG001SV77D1,true,15,55,4.140000,4.050000,397956.320467,10878956.285000,1780298345.700000,1.358796,2,,,,,,,,,,,,,-2.173913,0,-0.386543,0,35.185185,0,0,0,0.798876,0,,,,,,,,,,,0.617885,3,OTHER,1,SINGLE_SOURCE,1,,0,9.347826,3,7.004831,2,10878956.285000,2,397956.320467,1,15,15.000000,15.000000,12.500000,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,IWM,2,4.166667,alpha_v1.3_25m,,false,2,AVAILABLE,2,OTHER,OTHER,SINGLE_SOURCE,,UNKNOWN,UNKNOWN,NOT_SELECTED,INSUFFICIENT_PREMARKET_BARS,PASS,true,3,4.020000,4.920000,3.920000,4.200000,22.388060,-2.487562,4.477612,2024-03-26T11:58:00-04:00,10.201493,7.900498,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-03-26,ACHR,BBG00XRTC929,true,21,40,4.950000,5.020000,170220.083600,37571018.445500,1466230624.650000,0.556591,0,0.062567,3,0.019761,1,-0.005553,0,6.006418,4,-0.562697,0,0.760736,2,1.414141,1,0.049005,0,38.461538,0,1,1,0.388489,0,100.000000,4,66.703786,3,52.011263,1,-0.051859,0,0.848116,0,0.617885,3,OTHER,1,SINGLE_SOURCE,1,,0,7.446032,3,2.727273,0,37571018.445500,3,170220.083600,0,31,31.000000,31.000000,25.833333,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,IWM,12,25.000000,alpha_v1.3_25m,27.083333,false,1,AVAILABLE,1,OTHER,OTHER,SINGLE_SOURCE,,UNKNOWN,UNKNOWN,NOT_SELECTED,LIQUIDITY_BELOW_MINIMUM|INSUFFICIENT_PREMARKET_BARS,REJECT,false,,4.980000,5.048300,4.770000,4.790000,1.371486,-4.216867,-3.815261,2024-03-26T09:30:00-04:00,1.371486,-0.592369,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-03-26,ADV,BBG00PPWZ8G3,true,10,17,4.240000,4.598000,121781.206933,2412159.955500,1376089659.520000,145.718157,4,,,,,,,,,,,,,8.443396,4,1.507641,3,50.000000,1,0,0,1.095349,1,,,,,,,0.312350,0,7.513162,2,0.617885,3,,0,UNVERIFIED,0,,0,3.773585,1,5.424528,1,2412159.955500,0,121781.206933,0,20,20.000000,20.000000,16.666667,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,IWM,13,27.083333,alpha_v1.3_25m,,false,0,AVAILABLE,0,,,UNVERIFIED,,,,NOT_SELECTED,LIQUIDITY_BELOW_MINIMUM|INSUFFICIENT_PREMARKET_BARS,REJECT,false,,4.740000,4.950000,4.420000,4.420000,4.430380,-6.751055,-6.751055,2024-03-26T09:33:00-04:00,4.430380,-5.590717,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-03-26,AEHR,BBG001SB1CS4,true,17,45,11.370000,11.140000,418631.845467,19906974.773000,327448188.810000,1.779348,3,-0.093325,0,-0.099271,0,,,-1.659634,0,5.181560,4,,,-2.022867,0,-1.115406,0,38.636364,0,0,0,0.826483,0,28.041462,0,22.069558,0,,,-0.051859,0,-2.588893,0,0.617885,3,OFFERING_DILUTION,0,SINGLE_SOURCE,1,135.000000,3,8.840495,3,5.101143,1,19906974.773000,2,418631.845467,1,21,21.000000,21.000000,17.500000,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,IWM,7,14.583333,alpha_v1.3_25m,,false,3,AVAILABLE,3,OFFERING_DILUTION,HIGH_QUALITY_WIRE,SINGLE_SOURCE,135.000000,UNKNOWN,NEGATIVE,NOT_SELECTED,INSUFFICIENT_PREMARKET_BARS,PASS,false,,11.120000,12.070000,11.040000,11.160000,8.543165,-0.719424,0.359712,2024-03-26T09:50:00-04:00,8.543165,6.339928,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-03-26,AFRM,BBG00Y7BP8Z0,true,14,30,36.630000,37.030000,836307.738067,261768949.756500,11051400670.200001,0.255250,0,-0.010042,0,,,,,-8.419232,0,,,,,1.092001,1,-0.015940,0,51.724138,1,0,0,0.222033,0,0.000000,0,,,,,0.530552,1,0.334425,0,0.227023,1,OTHER,1,SINGLE_SOURCE,1,,0,6.545708,2,1.310401,0,261768949.756500,4,836307.738067,2,14,14.000000,14.000000,11.666667,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,SPY,2,4.166667,alpha_v1.3_25m,,false,1,AVAILABLE,1,OTHER,OTHER,SINGLE_SOURCE,,UNKNOWN,UNKNOWN,NOT_SELECTED,INSUFFICIENT_PREMARKET_BARS,PASS,false,,37.050000,38.490000,36.420000,37.310000,3.886640,-1.700405,0.701754,2024-03-26T14:53:00-04:00,0.647773,-0.323887,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-03-26,AG,BBG001SGV444,true,20,41,5.320000,5.460000,581094.114333,40962831.294500,1526152150.600000,2.545579,4,-0.004309,0,0.009523,0,-0.000817,0,-1.420471,0,2.924090,4,-0.369241,0,2.631579,2,0.026785,0,32.500000,0,1,1,0.289667,0,57.142857,2,42.857143,0,46.428571,0,,,,,0.617885,3,,0,UNVERIFIED,0,,0,4.980129,2,1.315789,0,40962831.294500,3,581094.114333,2,23,23.000000,23.000000,19.166667,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,IWM,11,22.916667,alpha_v1.3_25m,,false,0,AVAILABLE,0,,,UNVERIFIED,,,,NOT_SELECTED,INSUFFICIENT_PREMARKET_BARS,PASS,false,,5.470000,5.505000,5.250000,5.250000,0.639854,-4.021938,-4.021938,2024-03-26T09:31:00-04:00,0.639854,-2.010969,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-03-26,AGNC,BBG001T074G2,true,21,49,9.860000,9.900000,1055960.160467,102764893.997000,6389280000.000000,1.338539,2,0.005067,4,0.004171,4,0.001555,0,0.223002,0,4.711158,4,3.852031,4,0.405680,0,-0.062480,0,35.416667,0,3,4,0.581856,0,50.000000,1,50.000000,1,55.411255,2,0.469780,0,-0.351896,0,0.287796,2,OTHER,1,SINGLE_SOURCE,1,,0,1.495943,0,0.811359,0,102764893.997000,4,1055960.160467,3,37,37.000000,37.000000,30.833333,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,QQQ,22,45.833333,alpha_v1.3_25m,50.000000,false,1,AVAILABLE,1,OTHER,OTHER,SINGLE_SOURCE,,UNKNOWN,UNKNOWN,NOT_SELECTED,INSUFFICIENT_PREMARKET_BARS,PASS,false,,9.890000,9.893000,9.740000,9.740000,0.030334,-1.516684,-1.516684,2024-03-26T09:30:00-04:00,0.030334,-0.556117,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-03-26,AI,BBG00Y6G6Y84,false,38,70,27.630000,27.880000,2257686.405100,340134140.875000,3265914739.320000,0.298387,0,0.004074,0,-0.008676,0,-0.009399,0,0.925673,2,0.028142,0,0.049481,0,0.904814,0,-0.103372,0,37.681159,0,1,1,0.313550,0,45.454545,0,41.171750,0,45.762712,0,0.312350,0,-0.025421,0,0.617885,3,OTHER,1,SINGLE_SOURCE,1,,0,5.051187,2,1.701050,0,340134140.875000,4,2257686.405100,3,17,17.000000,17.000000,14.166667,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,IWM,3,6.250000,alpha_v1.3_25m,,false,2,AVAILABLE,1,OTHER,OTHER,SINGLE_SOURCE,,UNKNOWN,UNKNOWN,NOT_SELECTED,BELOW_RESEARCH_THRESHOLD,PASS,false,,28.020000,28.149900,27.010000,27.050000,0.463597,-3.604568,-3.461813,2024-03-26T09:31:00-04:00,0.463597,-0.469308,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-03-26,AKBA,BBG001T922S9,true,20,44,2.210000,2.199300,329435.265667,8286132.052000,416173513.470000,2.686461,4,0.008343,0,-0.006457,0,-0.003282,0,14.743747,4,1.527152,3,0.941818,2,-0.484163,0,-0.261006,0,30.232558,0,1,1,0.588784,0,65.048544,3,56.558533,2,49.710505,0,0.235516,0,-1.337564,0,0.617885,3,,0,UNVERIFIED,0,,0,7.908209,3,5.429864,1,8286132.052000,1,329435.265667,1,28,28.000000,28.000000,23.333333,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,IWM,14,29.166667,alpha_v1.3_25m,,false,0,AVAILABLE,0,,,UNVERIFIED,,,,NOT_SELECTED,INSUFFICIENT_PREMARKET_BARS,PASS,false,,2.200000,2.221000,1.910000,1.995000,0.954545,-13.181818,-9.318182,2024-03-26T09:30:00-04:00,0.954545,-9.545455,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-03-26,ALB,BBG001S7SBP9,true,16,21,118.350000,119.360000,1395891.788000,551536502.268000,13887990821.250000,0.239825,0,,,,,,,,,,,,,0.853401,0,-0.417312,0,35.000000,0,0,0,0.349646,0,,,,,,,0.626377,1,0.000000,0,0.227023,1,ANALYST_ACTION,2,SINGLE_SOURCE,1,,0,4.978683,2,1.673004,0,551536502.268000,4,1395891.788000,3,14,14.000000,14.000000,11.666667,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,SPY,0,0.000000,alpha_v1.3_25m,,false,1,AVAILABLE,1,ANALYST_ACTION,HIGH_QUALITY_WIRE,SINGLE_SOURCE,,UNKNOWN,UNKNOWN,NOT_SELECTED,INSUFFICIENT_PREMARKET_BARS,PASS,false,,119.250000,120.535000,117.280000,118.990000,1.077568,-1.651992,-0.218029,2024-03-26T13:22:00-04:00,0.821803,0.041929,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-03-26,ALT,BBG001SNS461,true,25,42,8.530000,8.810000,365210.995900,62221081.432750,449415213.780000,0.582369,0,,,0.011093,0,-0.010945,0,,,4.542116,4,0.037235,0,3.282532,2,-0.019642,0,39.024390,0,1,1,0.207517,0,,,52.000000,1,46.727749,0,0.235516,0,2.429131,1,0.617885,3,,0,UNVERIFIED,0,,0,9.910233,3,2.041032,0,62221081.432750,4,365210.995900,1,20,20.000000,20.000000,16.666667,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,IWM,7,14.583333,alpha_v1.3_25m,,false,0,AVAILABLE,0,,,UNVERIFIED,,,,NOT_SELECTED,INSUFFICIENT_PREMARKET_BARS,PASS,false,,8.820000,9.100000,8.610000,8.640000,3.174603,-2.380952,-2.040816,2024-03-26T09:34:00-04:00,3.174603,-0.453515,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-03-26,AMC,BBG001SZYYL4,false,39,64,4.090000,4.139700,467114.511633,59934035.735000,811279712.820000,0.512879,0,-0.001011,0,0.011921,0,0.005013,0,3.761761,4,4.395409,4,1.128448,3,1.215159,1,0.230624,0,34.920635,0,2,2,0.203879,0,49.812734,0,58.201499,2,54.048500,1,,,,,0.617885,3,,0,UNVERIFIED,0,,0,5.587321,2,1.222494,0,59934035.735000,4,467114.511633,1,27,27.000000,27.000000,22.500000,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,IWM,14,29.166667,alpha_v1.3_25m,,false,0,AVAILABLE,0,,,UNVERIFIED,,,,NOT_SELECTED,BELOW_RESEARCH_THRESHOLD,PASS,false,,4.140000,4.300000,4.060000,4.075000,3.864734,-1.932367,-1.570048,2024-03-26T11:05:00-04:00,1.932367,0.480676,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-03-26,APA,BBG00YTS96H1,true,11,15,34.590000,34.650000,234033.196667,224397186.753000,10628310324.360001,1.409080,2,,,,,,,,,,,,,0.173461,0,-0.003032,0,21.428571,0,0,0,0.245608,0,,,,,,,,,,,0.227023,1,,0,UNVERIFIED,0,,0,2.465700,1,0.607112,0,224397186.753000,4,234033.196667,0,8,8.000000,8.000000,6.666667,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,SPY,2,4.166667,alpha_v1.3_25m,,false,0,AVAILABLE,0,,,UNVERIFIED,,,,NOT_SELECTED,LIQUIDITY_BELOW_MINIMUM|INSUFFICIENT_PREMARKET_BARS,REJECT,false,,34.520000,34.800000,32.805000,32.910000,0.811124,-4.968134,-4.663963,2024-03-26T09:31:00-04:00,0.811124,-0.304171,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-03-26,APLD,BBG001SK4K76,true,11,14,4.410000,4.430000,42545.380000,12929914.249500,468784080.450000,0.282004,0,,,,,,,,,,,,,0.453515,0,-0.394872,0,23.076923,0,0,0,0.140079,0,,,,,,,0.312350,0,-0.476720,0,0.617885,3,,0,UNVERIFIED,0,,0,8.812115,3,1.133787,0,12929914.249500,2,42545.380000,0,8,8.000000,8.000000,6.666667,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,IWM,0,0.000000,alpha_v1.3_25m,,false,0,AVAILABLE,0,,,UNVERIFIED,,,,NOT_SELECTED,LIQUIDITY_BELOW_MINIMUM|INSUFFICIENT_PREMARKET_BARS,REJECT,false,,4.430000,4.500000,4.320000,4.325000,1.580135,-2.483070,-2.370203,2024-03-26T13:43:00-04:00,1.128668,0.902935,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-03-26,ARQT,BBG00QN8K4P1,true,11,22,9.260000,9.260000,61955.624267,52546856.265000,871865836.280000,0.180392,0,,,,,,,,,,,,,0.000000,0,1.290271,3,33.333333,0,0,0,0.243674,0,,,,,,,0.235516,0,-0.853401,0,0.617885,3,,0,UNVERIFIED,0,,0,10.391392,4,2.375810,0,52546856.265000,4,61955.624267,0,14,14.000000,14.000000,11.666667,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,IWM,3,6.250000,alpha_v1.3_25m,,false,0,AVAILABLE,0,,,UNVERIFIED,,,,NOT_SELECTED,LIQUIDITY_BELOW_MINIMUM|INSUFFICIENT_PREMARKET_BARS,REJECT,false,,9.390000,9.520000,9.100000,9.265000,1.384452,-3.088392,-1.331203,2024-03-26T13:57:00-04:00,0.636848,0.000000,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-03-26,AU,0001973832,true,17,42,21.340000,21.890000,399128.890000,53835663.176500,8956046786.280001,0.475604,0,0.035034,2,,,,,-8.026569,0,,,,,2.577320,2,0.365323,1,56.097561,1,0,0,0.946211,0,100.000000,4,,,,,,,,,0.617885,3,,0,UNVERIFIED,0,,0,4.256862,2,3.186504,1,53835663.176500,4,399128.890000,1,21,21.000000,21.000000,17.500000,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,IWM,6,12.500000,alpha_v1.3_25m,,false,0,AVAILABLE,0,,,UNVERIFIED,,,,NOT_SELECTED,INSUFFICIENT_PREMARKET_BARS,PASS,false,,21.910000,21.910000,21.230000,21.410000,0.000000,-3.103606,-2.282063,2024-03-26T09:30:00-04:00,0.000000,-0.459607,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-03-26,BBAI,BBG00Z4HKRY1,false,55,118,2.170000,2.230000,1168557.034300,88013692.767000,338145241.000000,0.394243,0,0.057889,3,0.009141,0,-0.000274,0,-17.288932,0,-0.619348,0,-0.766804,0,2.764977,2,1.109391,3,30.769231,0,0,0,0.349932,0,58.375209,2,50.000000,1,51.113586,1,0.312350,0,1.834742,0,0.617885,3,OTHER,1,SINGLE_SOURCE,1,,0,15.847268,4,5.059908,1,88013692.767000,4,1168557.034300,3,29,29.000000,29.000000,24.166667,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,IWM,8,16.666667,alpha_v1.3_25m,12.500000,false,4,AVAILABLE,4,OTHER,OTHER,SINGLE_SOURCE,,UNKNOWN,UNKNOWN,NOT_SELECTED,BELOW_RESEARCH_THRESHOLD,PASS,false,,2.220000,2.229900,2.080000,2.090000,0.445946,-6.306306,-5.855856,2024-03-26T09:30:00-04:00,0.445946,-2.927928,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-03-26,BHVN,0001935979,true,16,47,55.230000,58.120000,2379807.056667,95358320.973500,4423013969.429999,11.386168,4,,,,,,,,,,,,,5.232663,3,-1.632473,0,23.913043,0,0,0,0.908432,0,,,,,,,0.235516,0,4.379262,1,0.617885,3,,0,UNVERIFIED,0,,0,6.061625,2,5.866377,1,95358320.973500,4,2379807.056667,3,21,21.000000,21.000000,17.500000,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,IWM,7,14.583333,alpha_v1.3_25m,,false,0,AVAILABLE,0,,,UNVERIFIED,,,,NOT_SELECTED,INSUFFICIENT_PREMARKET_BARS,PASS,false,,58.200000,59.530000,56.200000,56.290000,2.285223,-3.436426,-3.281787,2024-03-26T10:08:00-04:00,1.701031,1.365979,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-03-26,BITF,BBG00PGMZVM7,false,35,96,2.290000,2.310000,695911.525900,74982666.222500,638209637.850000,0.425391,0,0.035151,2,0.004926,0,-0.003317,0,7.989766,4,-0.765255,0,1.658694,3,0.873362,0,-0.042621,0,20.000000,0,1,1,0.950443,0,75.000000,4,57.142857,2,53.943218,1,,,,,0.617885,3,OTHER,1,SINGLE_SOURCE,1,,0,9.171553,3,9.606987,2,74982666.222500,4,695911.525900,2,33,33.000000,33.000000,27.500000,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,IWM,10,20.833333,alpha_v1.3_25m,29.166667,false,1,AVAILABLE,1,OTHER,OTHER,SINGLE_SOURCE,,UNKNOWN,UNKNOWN,NOT_SELECTED,BELOW_RESEARCH_THRESHOLD,PASS,false,,2.300000,2.310000,2.160000,2.165000,0.434783,-6.086957,-5.869565,2024-03-26T11:46:00-04:00,0.430435,-2.443478,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-03-26,BTG,BBG001T0CNW6,true,24,40,2.550000,2.590000,208743.728100,33810533.753000,3308726767.950000,1.177815,1,0.015783,1,-0.014480,0,-0.007443,0,4.815576,4,0.759965,2,-2.516449,0,1.568627,1,0.057033,0,41.025641,0,1,1,0.432534,0,92.372881,4,40.347490,0,50.000000,1,,,,,0.617885,3,,0,UNVERIFIED,0,,0,3.955182,1,1.568627,0,33810533.753000,3,208743.728100,0,22,22.000000,22.000000,18.333333,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,IWM,10,20.833333,alpha_v1.3_25m,,false,0,AVAILABLE,0,,,UNVERIFIED,,,,NOT_SELECTED,LIQUIDITY_BELOW_MINIMUM|INSUFFICIENT_PREMARKET_BARS,REJECT,false,,2.570000,2.579900,2.510000,2.515000,0.385214,-2.334630,-2.140078,2024-03-26T09:30:00-04:00,0.385214,-0.583658,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-03-26,CDE,BBG001S5PM54,true,14,24,3.430000,3.560000,444441.397400,22026092.228500,1297270373.910000,3.066211,4,,,,,,,,,,,,,3.790087,2,-0.615244,0,52.173913,1,0,0,0.626211,0,,,,,,,-0.151467,0,3.323670,1,0.617885,3,,0,UNVERIFIED,0,,0,5.881716,2,3.790087,1,22026092.228500,2,444441.397400,1,17,17.000000,17.000000,14.166667,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,IWM,7,14.583333,alpha_v1.3_25m,,false,0,AVAILABLE,0,,,UNVERIFIED,,,,NOT_SELECTED,INSUFFICIENT_PREMARKET_BARS,PASS,false,,3.540000,3.570000,3.360000,3.380000,0.847458,-5.084746,-4.519774,2024-03-26T09:31:00-04:00,0.847458,-1.836158,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-03-26,CDLX,BBG00225ZDF8,false,44,87,20.250000,16.510000,3448320.503400,30187754.311500,763915232.250000,5.668200,4,-0.131132,0,-0.077096,0,-0.072103,0,16.447193,4,3.372427,4,2.072364,4,-18.469136,0,-7.723519,0,32.558140,0,0,0,2.094852,4,26.060936,0,27.926194,0,37.077990,0,0.312350,0,-19.399370,0,0.617885,3,OFFERING_DILUTION,0,SINGLE_SOURCE,1,,0,8.223492,3,20.000000,4,30187754.311500,3,3448320.503400,4,38,38.000000,38.000000,31.666667,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,IWM,20,41.666667,alpha_v1.3_25m,,false,1,AVAILABLE,1,OFFERING_DILUTION,OTHER,SINGLE_SOURCE,,UNKNOWN,NEGATIVE,NOT_SELECTED,BELOW_RESEARCH_THRESHOLD,PASS,false,,15.740000,16.310000,12.020000,13.610000,3.621347,-23.634053,-13.532402,2024-03-26T09:30:00-04:00,3.621347,-13.341804,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-03-26,CEIX,BBG00HC115M9,true,27,35,86.350000,80.010000,4048092.533900,54529190.592500,2677701583.700000,106.326358,4,-0.047220,0,-0.027179,0,-0.011989,0,-0.753811,0,-1.453925,0,0.654084,2,-7.342212,0,-0.576803,0,35.294118,0,0,0,2.014851,4,3.773585,0,37.688442,0,36.044881,0,-0.151467,0,-7.808630,0,0.617885,3,,0,UNVERIFIED,0,,0,3.999909,1,7.492762,2,54529190.592500,4,4048092.533900,4,24,24.000000,24.000000,20.000000,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,IWM,10,20.833333,alpha_v1.3_25m,,false,0,AVAILABLE,0,,,UNVERIFIED,,,,NOT_SELECTED,INSUFFICIENT_PREMARKET_BARS,PASS,false,,79.810000,81.639900,77.800000,80.490000,2.292820,-2.518481,0.852024,2024-03-26T09:34:00-04:00,2.292820,0.175417,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
2024-03-26,CERS,BBG001S97DG4,true,10,13,1.750000,1.820000,30874.042100,5423337.615000,316407089.250000,0.061531,0,,,,,,,,,,,,,4.000000,3,0.991765,2,50.000000,1,0,0,1.254605,2,,,,,,,-0.051859,0,3.433974,1,0.617885,3,,0,UNVERIFIED,0,,0,11.143265,4,9.714286,2,5423337.615000,1,30874.042100,0,19,19.000000,19.000000,15.833333,25,call_options_confirmation|analyst_revision_strength|positive_social_attention_acceleration|spread_quality|order_book_depth_quality,IWM,8,16.666667,alpha_v1.3_25m,,false,0,AVAILABLE,0,,,UNVERIFIED,,,,NOT_SELECTED,LIQUIDITY_BELOW_MINIMUM|INSUFFICIENT_PREMARKET_BARS,REJECT,false,,1.890000,1.929200,1.721100,1.735000,2.074074,-8.936508,-8.201058,2024-03-26T09:34:00-04:00,2.074074,-4.232804,false,execution_costs_v1.0,,0.000000,,,0.000000,0.000000,,,,,,,,
